CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 522.171875 1721046130.1322
MEM 522.175781 1721046130.2328
MEM 522.175781 1721046130.3332
MEM 522.179688 1721046130.4337
MEM 522.183594 1721046130.5343
MEM 522.191406 1721046130.6348
MEM 522.191406 1721046130.7354
MEM 522.191406 1721046130.8361
MEM 522.191406 1721046130.9370
MEM 522.191406 1721046131.0373
MEM 522.214844 1721046131.1378
MEM 522.234375 1721046131.2386
MEM 522.253906 1721046131.3391
MEM 522.316406 1721046131.4402
MEM 522.316406 1721046131.5407
MEM 522.332031 1721046131.6413
MEM 522.347656 1721046131.7423
MEM 522.363281 1721046131.8433
MEM 522.382812 1721046131.9437
MEM 522.449219 1721046132.0442
MEM 522.449219 1721046132.1448
MEM 522.449219 1721046132.2454
MEM 522.468750 1721046132.3465
MEM 522.484375 1721046132.4472
MEM 522.468750 1721046132.5477
MEM 522.781250 1721046132.6483
MEM 524.117188 1721046132.7488
MEM 524.441406 1721046132.8497
MEM 525.113281 1721046132.9501
MEM 526.281250 1721046133.0507
MEM 526.941406 1721046133.1517
MEM 527.781250 1721046133.2525
MEM 528.878906 1721046133.3535
MEM 530.156250 1721046133.4542
MEM 531.046875 1721046133.5550
MEM 532.160156 1721046133.6560
MEM 532.671875 1721046133.7568
MEM 543.933594 1721046133.8573
MEM 544.832031 1721046133.9584
MEM 545.429688 1721046134.0593
MEM 545.742188 1721046134.1598
MEM 546.070312 1721046134.2609
MEM 546.996094 1721046134.3620
MEM 547.324219 1721046134.4630
MEM 547.929688 1721046134.5637
MEM 549.046875 1721046134.6643
MEM 550.238281 1721046134.7648
MEM 551.199219 1721046134.8657
MEM 552.437500 1721046134.9663
MEM 553.445312 1721046135.0668
MEM 554.636719 1721046135.1674
MEM 555.609375 1721046135.2681
MEM 556.292969 1721046135.3688
MEM 557.382812 1721046135.4696
MEM 558.347656 1721046135.5707
MEM 559.300781 1721046135.6712
MEM 560.453125 1721046135.7723
MEM 562.675781 1721046135.8730
MEM 564.074219 1721046135.9740
MEM 565.085938 1721046136.0744
MEM 566.542969 1721046136.1747
MEM 567.347656 1721046136.2753
MEM 568.546875 1721046136.3756
MEM 570.074219 1721046136.4761
MEM 571.589844 1721046136.5767
